Date,Open,High,Low,Settle,Volume,1,2,3,4,5
16-10-2011,1.43239,1.4344,1.41319,1.41586,7880,0,0,0,0,0
17-10-2011,1.4125,1.41452,1.40945,1.41157,108017,0,0,0,0,0
18-10-2011,1.41156,1.41338,1.39681,1.40116,94193,0,0,0,0,0
19-10-2011,1.40118,1.41318,1.40118,1.4091,99018,0,0,0,0,0
20-10-2011,1.40909,1.41169,1.40121,1.40678,94447,0,0,0,0,0
21-10-2011,1.40677,1.4205,1.40675,1.41428,87235,0,0,0,0,0
23-10-2011,1.41429,1.43231,1.41283,1.4316,4793,0,0,0,0,0
24-10-2011,1.43225,1.43225,1.42774,1.42886,52909,0,0,0,0,0
25-10-2011,1.42888,1.4351,1.42558,1.4332,89001,0,0,0,0,0
26-10-2011,1.43321,1.44359,1.43241,1.44252,90207,0,0,0,0,0
27-10-2011,1.44251,1.44573,1.43064,1.43448,83888,0,0,0,0,0
28-10-2011,1.43446,1.45122,1.43243,1.44854,76207,0,0,0,0,0
30-10-2011,1.44855,1.46413,1.44496,1.46349,5406,0,0,0,0,0
31-10-2011,1.46107,1.4656,1.46107,1.46514,90498,0,0,0,0,0
01-11-2011,1.46516,1.46567,1.45559,1.45895,86058,0,0,0,0,0
02-11-2011,1.45891,1.46946,1.45626,1.46785,90325,0,0,0,0,0
03-11-2011,1.46795,1.46881,1.45632,1.45905,85002,0,0,0,0,0
04-11-2011,1.4591,1.46513,1.44763,1.45356,90137,0,0,0,0,0
06-11-2011,1.45355,1.45494,1.4321,1.43478,4325,0,0,0,0,0
07-11-2011,1.43243,1.43409,1.43198,1.43346,88111,0,0,0,0,0
08-11-2011,1.43345,1.44287,1.43211,1.44135,87418,0,0,0,0,0
09-11-2011,1.44142,1.44961,1.4377,1.44317,95432,0,0,0,0,0
10-11-2011,1.44316,1.4437,1.4155,1.41905,108919,0,0,0,0,0
11-11-2011,1.41906,1.42199,1.40722,1.42005,87910,0,0,0,0,0
13-11-2011,1.41995,1.43377,1.41263,1.43064,5715,0,0,0,0,0
14-11-2011,1.42775,1.42973,1.4255,1.42562,92668,0,0,0,0,0
15-11-2011,1.4256,1.43827,1.41899,1.43606,86546,0,0,0,0,0
16-11-2011,1.43605,1.44315,1.43044,1.43756,90029,0,0,0,0,0
17-11-2011,1.43754,1.44401,1.43092,1.43294,99474,0,0,0,0,0
18-11-2011,1.43292,1.43319,1.41251,1.42604,94996,0,0,0,0,0
20-11-2011,1.42603,1.43049,1.41406,1.41877,5700,0,0,0,0,0
21-11-2011,1.41905,1.41968,1.4145,1.41535,100049,0,0,0,0,0
22-11-2011,1.41534,1.43276,1.41015,1.43096,98359,0,0,0,0,0
23-11-2011,1.43095,1.43956,1.42359,1.43559,86190,0,0,0,0,0
24-11-2011,1.43561,1.44827,1.43276,1.4462,69171,0,0,0,0,0
25-11-2011,1.44621,1.45363,1.44466,1.44732,46487,0,0,0,0,0
27-11-2011,1.44742,1.45502,1.44349,1.45243,5886,0,0,0,0,0
28-11-2011,1.45335,1.45763,1.45302,1.45623,59015,0,0,0,0,0
29-11-2011,1.45625,1.45665,1.44941,1.45406,75711,0,0,0,0,0
30-11-2011,1.45404,1.45404,1.43957,1.4434,76264,0,0,0,0,0
01-12-2011,1.44341,1.44651,1.42848,1.4334,86198,0,0,0,0,0
02-12-2011,1.43339,1.43728,1.42197,1.43594,76839,0,0,0,0,0
04-12-2011,1.43595,1.4367,1.4205,1.42631,6795,0,0,0,0,0
05-12-2011,1.4204,1.42252,1.41966,1.42101,104358,0,0,0,0,0
06-12-2011,1.42103,1.42263,1.39851,1.4037,123397,0,0,0,0,0
07-12-2011,1.40371,1.40525,1.3836,1.39881,101439,0,0,0,0,0
08-12-2011,1.3988,1.42809,1.3961,1.42677,107938,0,0,0,0,0
09-12-2011,1.42681,1.42686,1.41141,1.41606,84332,0,0,0,0,0
11-12-2011,1.41605,1.41909,1.40909,1.4156,5941,0,0,0,0,0
12-12-2011,1.41105,1.41329,1.41065,1.41251,90828,0,0,0,0,0
13-12-2011,1.4125,1.4135,1.40129,1.41248,86421,0,0,0,0,0
14-12-2011,1.41247,1.42156,1.40674,1.4169,89606,0,0,0,0,0
15-12-2011,1.41691,1.4273,1.4132,1.42593,106667,0,0,0,0,0
16-12-2011,1.42595,1.44367,1.41376,1.44069,78074,0,0,0,0,0
18-12-2011,1.4407,1.44361,1.43228,1.43573,6879,0,0,0,0,0
19-12-2011,1.4386,1.44157,1.43644,1.43653,87697,0,0,0,0,0
20-12-2011,1.43654,1.4405,1.43236,1.43718,88018,0,0,0,0,0
21-12-2011,1.43717,1.45239,1.4356,1.45068,88437,0,0,0,0,0
22-12-2011,1.45067,1.45345,1.43384,1.43596,82410,0,0,0,0,0
23-12-2011,1.43597,1.4399,1.42531,1.43252,62940,0,0,0,0,0
26-12-2011,1.43251,1.44118,1.42282,1.43977,7092,0,0,0,0,0
27-12-2011,1.4381,1.43826,1.43459,1.43533,102266,0,0,0,0,0
28-12-2011,1.43535,1.44518,1.41836,1.42714,68943,0,0,0,0,0
29-12-2011,1.42713,1.42814,1.41502,1.41825,51856,0,0,0,0,0
30-12-2011,1.41829,1.43708,1.41423,1.43481,129541,0,0,0,0,0
01-01-2012,1.43482,1.43669,1.40541,1.40745,93192,0,0,0,0,0
02-01-2012,1.40743,1.42965,1.40689,1.42789,12494,0,0,0,0,0
03-01-2012,1.44176,1.443,1.42876,1.43078,96120,0,0,0,0,0
04-01-2012,1.43077,1.44005,1.41305,1.41747,153835,0,0,0,0,0
05-01-2012,1.41746,1.43965,1.41512,1.43528,110946,0,0,0,0,0
06-01-2012,1.43529,1.43997,1.41216,1.4135,108524,0,0,0,0,0
08-01-2012,1.41358,1.42926,1.41021,1.42136,84999,0,0,0,0,0
09-01-2012,1.42128,1.429,1.41484,1.42482,5344,0,0,0,0,0
10-01-2012,1.42668,1.42826,1.42508,1.42826,92595,0,0,0,0,0
11-01-2012,1.42825,1.44756,1.42622,1.44363,82329,0,0,0,0,0
12-01-2012,1.44364,1.44704,1.4353,1.43794,99129,0,0,0,0,0
13-01-2012,1.43795,1.45158,1.43237,1.44267,90570,0,0,0,0,0
15-01-2012,1.44266,1.44503,1.42699,1.42948,100334,0,0,0,0,0
16-01-2012,1.42949,1.44511,1.42578,1.43959,5422,0,0,0,0,0
17-01-2012,1.43793,1.43834,1.43596,1.43651,85039,0,0,0,0,0
18-01-2012,1.4365,1.44329,1.4346,1.4356,73264,0,0,0,0,0
19-01-2012,1.43561,1.44987,1.43559,1.44369,85566,0,0,0,0,0
20-01-2012,1.44368,1.44802,1.43803,1.44064,82319,0,0,0,0,0
22-01-2012,1.44063,1.44734,1.43269,1.43867,71919,0,0,0,0,0
23-01-2012,1.43868,1.45001,1.43276,1.4498,5403,0,0,0,0,0
24-01-2012,1.44986,1.45023,1.44768,1.44796,70698,0,0,0,0,0
25-01-2012,1.44795,1.45476,1.44648,1.45149,78829,0,0,0,0,0
26-01-2012,1.45148,1.45317,1.43834,1.44381,77646,0,0,0,0,0
27-01-2012,1.44382,1.44674,1.43574,1.43625,78996,0,0,0,0,0
29-01-2012,1.43624,1.43762,1.42252,1.42672,74194,0,0,0,0,0
30-01-2012,1.4267,1.42864,1.41829,1.42033,6220,0,0,0,0,0
31-01-2012,1.41613,1.41725,1.41352,1.4147,78781,0,0,0,0,0
01-02-2012,1.41469,1.41716,1.40579,1.40679,115540,0,0,0,0,0
