date,time,open,high,low,close,volume
2019-01-16,09:00:00,60.924,60.994,60.749,60.769,818
2019-01-16,09:15:00,60.764,60.839,60.65,60.66,884
2019-01-16,09:30:00,60.655,60.655,60.51,60.525,917
2019-01-16,09:45:00,60.52,60.62,60.311,60.406,1356
2019-01-16,10:00:00,60.403,60.421,60.251,60.371,1172
2019-01-16,10:15:00,60.375,60.496,60.309,60.441,872
2019-01-16,10:30:00,60.436,60.491,60.349,60.481,720
2019-01-16,10:45:00,60.485,60.561,60.416,60.461,857
2019-01-16,11:00:00,60.465,60.551,60.384,60.511,670
2019-01-16,11:15:00,60.515,60.531,60.359,60.391,636
2019-01-16,11:30:00,60.386,60.391,60.13,60.177,1261
2019-01-16,11:45:00,60.172,60.282,60.141,60.262,740
2019-01-16,12:00:00,60.259,60.307,60.222,60.267,533
2019-01-16,12:15:00,60.262,60.267,60.147,60.162,432
2019-01-16,12:30:00,60.158,60.192,60.038,60.192,1245
2019-01-16,12:45:00,60.195,60.284,60.162,60.172,808
2019-01-16,13:00:00,60.175,60.237,60.053,60.093,1173
2019-01-16,13:15:00,60.088,60.15,59.983,60.078,1095
2019-01-16,13:30:00,60.073,60.153,60.052,60.123,1009
2019-01-16,13:45:00,60.127,60.215,60.063,60.143,1024
2019-01-16,14:00:00,60.147,60.522,60.033,60.447,2937
2019-01-16,14:15:00,60.45,60.572,60.414,60.452,1639
2019-01-16,14:30:00,60.457,60.676,60.428,60.497,2787
2019-01-16,14:45:00,60.492,60.764,60.487,60.672,1937
2019-01-16,15:00:00,60.677,60.832,60.627,60.657,1969
2019-01-16,15:15:00,60.662,60.767,60.592,60.737,1819
2019-01-16,15:30:00,60.727,60.904,60.024,60.203,7594
2019-01-16,15:45:00,60.199,60.448,60.174,60.283,3689
2019-01-16,16:00:00,60.286,60.303,59.884,60.283,5190
2019-01-16,16:15:00,60.286,60.837,60.264,60.762,4469
2019-01-16,16:30:00,60.767,60.992,60.578,60.882,3650
2019-01-16,16:45:00,60.885,60.942,60.655,60.693,2228
2019-01-16,17:00:00,60.688,60.708,60.518,60.668,1528
2019-01-16,17:15:00,60.673,60.688,60.434,60.454,1846
2019-01-16,17:30:00,60.459,60.593,60.454,60.533,1367
2019-01-16,17:45:00,60.536,60.556,60.424,60.509,1010
2019-01-16,18:00:00,60.514,60.658,60.503,60.618,996
2019-01-16,18:15:00,60.621,60.663,60.544,60.544,1021
2019-01-16,18:30:00,60.541,60.653,60.514,60.569,1077
2019-01-16,18:45:00,60.574,60.694,60.524,60.684,1141
2019-01-16,19:00:00,60.679,60.873,60.651,60.774,2554
2019-01-16,19:15:00,60.778,61.198,60.664,61.148,3835
2019-01-16,19:30:00,61.145,61.285,61.039,61.123,1315
2019-01-16,19:45:00,61.125,61.168,60.998,61.043,678
2019-01-16,20:00:00,61.048,61.233,61.048,61.208,401
2019-01-16,20:15:00,61.213,61.258,61.178,61.218,435
2019-01-16,20:30:00,61.213,61.233,61.133,61.233,463
2019-01-16,20:45:00,61.238,61.283,61.201,61.208,295
2019-01-16,21:00:00,61.203,61.245,61.188,61.208,123
2019-01-16,21:15:00,61.203,61.208,61.183,61.193,61
2019-01-16,21:30:00,61.198,61.208,61.193,61.203,72
2019-01-16,21:45:00,61.196,61.213,61.146,61.159,161
2019-01-16,22:00:00,61.153,61.159,61.119,61.149,32
2019-01-16,22:15:00,61.141,61.154,61.124,61.149,9
2019-01-16,22:30:00,61.159,61.189,61.154,61.154,11
2019-01-16,22:45:00,61.159,61.159,61.129,61.134,10
2019-01-17,01:00:00,60.821,60.98,60.741,60.906,830
2019-01-17,01:15:00,60.903,61.01,60.836,60.936,413
2019-01-17,01:30:00,60.933,60.941,60.781,60.866,263
2019-01-17,01:45:00,60.864,60.866,60.657,60.741,708
2019-01-17,02:00:00,60.736,60.831,60.736,60.766,302
2019-01-17,02:15:00,60.769,60.876,60.766,60.871,198
2019-01-17,02:30:00,60.867,60.879,60.816,60.851,394
2019-01-17,02:45:00,60.847,60.906,60.832,60.896,311
2019-01-17,03:00:00,60.899,60.936,60.847,60.907,313
2019-01-17,03:15:00,60.912,60.934,60.867,60.882,199
2019-01-17,03:30:00,60.879,60.917,60.842,60.897,168
2019-01-17,03:45:00,60.894,60.897,60.847,60.862,155
2019-01-17,04:00:00,60.857,60.922,60.842,60.912,96
2019-01-17,04:15:00,60.907,60.912,60.832,60.832,104
2019-01-17,04:30:00,60.835,60.882,60.827,60.832,83
2019-01-17,04:45:00,60.835,60.927,60.827,60.902,204
2019-01-17,05:00:00,60.905,60.922,60.852,60.857,114
2019-01-17,05:15:00,60.86,60.862,60.828,60.843,158
2019-01-17,05:30:00,60.847,60.862,60.768,60.818,253
2019-01-17,05:45:00,60.815,60.923,60.798,60.893,404
2019-01-17,06:00:00,60.897,60.923,60.838,60.863,184
2019-01-17,06:15:00,60.858,60.958,60.768,60.928,393
2019-01-17,06:30:00,60.933,60.978,60.868,60.883,341
2019-01-17,06:45:00,60.879,60.988,60.863,60.913,374
2019-01-17,07:00:00,60.918,60.948,60.853,60.883,360
2019-01-17,07:15:00,60.886,60.918,60.794,60.828,509
2019-01-17,07:30:00,60.831,60.843,60.759,60.794,559
2019-01-17,07:45:00,60.791,60.896,60.759,60.869,754
2019-01-17,08:00:00,60.866,60.918,60.759,60.789,1295
2019-01-17,08:15:00,60.784,60.809,60.659,60.719,1585
2019-01-17,08:30:00,60.714,60.834,60.585,60.829,1170
2019-01-17,08:45:00,60.833,60.901,60.789,60.899,803
2019-01-17,09:00:00,60.903,61.019,60.799,60.799,962
2019-01-17,09:15:00,60.802,60.969,60.739,60.864,862
2019-01-17,09:30:00,60.867,60.899,60.415,60.56,1499
2019-01-17,09:45:00,60.555,60.66,60.53,60.555,826
